element	Malejaco	Random	Rosnaco	Stala	V ksztaltna
50000	2977	2745	2628	2636	2834
55000	6676	6117	5855	5870	6192
60000	11055	10106	9680	9686	10195
65000	16317	14729	14182	14152	14890
70000	22261	20097	19339	19411	20349
75000	29075	26249	25276	25545	26599
80000	36878	33254	32096	32747	33701
85000	45647	41128	39732	40521	41719
90000	55383	49963	48304	49205	50717
95000	66187	59834	57789	58914	60722
100000	78123	70732	68296	69533	71795
105000	91266	82772	79883	81369	84085
110000	105710	96069	92588	94199	97711
115000	121573	110621	106460	108241	114033
120000	138747	126316	121676	123401	134302
125000	157454	143230	138280	139830	153025
130000	177982	161382	156327	157600	171890
135000	200069	180974	176103	176988	192164
140000	223764	201933	197090	197936	214111
145000	249001	224549	219627	220090	237513
150000	275866	248940	243416	244007	262654
155000	305159	274568	268708	269539	289392
160000	335672	301662	295747	296400	317859
165000	368705	330650	324284	324923	348196
170000	403341	361660	354669	355571	380405
175000	440196	394412	387013	387782	414460
180000	479744	429056	420992	421822	450820
185000	520640	465573	457025	457858	488844
190000	563485	504062	495457	495760	528937
195000	609106	544622	535889	536460	571243
200000	656416	587306	578415	579101	615724
